Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11554993,1081827E,true,Rx,0,8,2F,74,00,00,00,00,00,00,
11554686,108182FE,true,Tx,0,8,0A,77,00,00,00,00,00,00,
11556211,108182FE,true,Tx,0,8,0B,77,00,00,00,00,00,00,
11557353,1081827E,true,Rx,0,8,20,75,00,00,00,00,00,00,
11557763,108182FE,true,Tx,0,8,0C,77,00,00,00,00,00,00,
11559644,1081827E,true,Rx,0,8,01,75,00,00,00,00,CD,31,
11559919,108182FE,true,Tx,0,8,0D,77,00,00,00,00,00,00,
11561210,108182FE,true,Tx,0,8,0E,77,00,00,00,00,00,00,
11561952,1081827E,true,Rx,0,8,22,75,00,00,00,00,00,00,
11562359,108182FE,true,Tx,0,8,0F,77,00,00,00,00,00,00,
11563516,108182FE,true,Tx,0,8,00,78,00,00,00,00,00,00,
11564285,1081827E,true,Rx,0,8,23,75,00,00,00,00,00,00,
11564645,108182FE,true,Tx,0,8,01,78,00,00,00,00,00,00,
11565413,1081827E,true,Rx,0,8,24,75,00,00,00,00,00,00,
11565819,108182FE,true,Tx,0,8,02,78,00,00,00,00,00,00,
11566898,108182FE,true,Tx,0,8,03,78,00,00,00,00,00,00,
11568035,108182FE,true,Tx,0,8,04,78,00,00,00,00,00,00,
11568915,1081827E,true,Rx,0,8,25,75,00,00,00,00,00,00,
11569189,108182FE,true,Tx,0,8,05,78,00,00,00,00,00,00,
11570367,108182FE,true,Tx,0,8,06,78,00,00,00,00,00,00,
11571227,1081827E,true,Rx,0,8,26,75,00,00,00,00,00,00,
11571489,108182FE,true,Tx,0,8,07,78,00,00,00,00,00,00,
11572988,108182FE,true,Tx,0,8,08,78,00,00,00,00,00,00,
11573614,1081827E,true,Rx,0,8,27,75,00,00,00,00,00,00,
11575250,108182FE,true,Tx,0,8,09,78,00,00,00,00,00,00,
11575895,1081827E,true,Rx,0,8,28,75,00,00,00,00,00,00,
11576522,108182FE,true,Tx,0,8,0A,78,00,00,00,00,00,00,
11577699,108182FE,true,Tx,0,8,0B,78,00,00,00,00,00,00,
11578199,1081827E,true,Rx,0,8,29,75,00,00,00,00,00,00,
11578921,108182FE,true,Tx,0,8,0C,78,00,00,00,00,00,00,
11580091,108182FE,true,Tx,0,8,0D,78,00,00,00,00,00,00,
11580466,1081827E,true,Rx,0,8,2A,75,00,00,00,00,00,00,
11581261,108182FE,true,Tx,0,8,0E,78,00,00,00,00,00,00,
11582424,108182FE,true,Tx,0,8,0F,78,00,00,00,00,00,00,
11582786,1081827E,true,Rx,0,8,2B,75,00,00,00,00,00,00,
11584007,108182FE,true,Tx,0,8,00,79,00,00,00,00,00,00,
11585099,1081827E,true,Rx,0,8,2C,75,00,00,00,00,00,00,
11585537,108182FE,true,Tx,0,8,01,79,00,00,00,00,00,00,
11586671,108182FE,true,Tx,0,8,02,79,00,00,00,00,00,00,
11587433,1081827E,true,Rx,0,8,2D,75,00,00,00,00,00,00,
11587815,108182FE,true,Tx,0,8,03,79,00,00,00,00,00,00,
11589308,108182FE,true,Tx,0,8,04,79,00,00,00,00,00,00,
11589742,1081827E,true,Rx,0,8,2E,75,00,00,00,00,00,00,
11590888,108182FE,true,Tx,0,8,05,79,00,00,00,00,00,00,
11592079,1081827E,true,Rx,0,8,2F,75,00,00,00,00,00,00,
11592449,108182FE,true,Tx,0,8,06,79,00,00,00,00,00,00,
11593636,108182FE,true,Tx,0,8,07,79,00,00,00,00,00,00,
11594413,1081827E,true,Rx,0,8,20,76,00,00,00,00,00,00,
11594763,108182FE,true,Tx,0,8,08,79,00,00,00,00,00,00,
11595938,108182FE,true,Tx,0,8,09,79,00,00,00,00,00,00,
11596725,1081827E,true,Rx,0,8,01,76,00,00,00,00,02,4A,
11597055,108182FE,true,Tx,0,8,0A,79,00,00,00,00,00,00,
11598222,108182FE,true,Tx,0,8,0B,79,00,00,00,00,00,00,
11599042,1081827E,true,Rx,0,8,22,76,00,00,00,00,00,00,
