Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2453999,108182FE,true,Tx,0,8,06,91,00,00,00,00,00,00,
2454597,1081827E,true,Rx,0,8,20,8D,00,00,00,00,00,00,
2455672,108182FE,true,Tx,0,8,07,91,00,00,00,00,00,00,
2456885,1081827E,true,Rx,0,8,21,8D,00,00,00,00,00,00,
2456840,108182FE,true,Tx,0,8,08,91,00,00,00,00,00,00,
2458007,108182FE,true,Tx,0,8,09,91,00,00,00,00,00,00,
2459199,1081827E,true,Rx,0,8,22,8D,00,00,00,00,00,00,
2459120,108182FE,true,Tx,0,8,0A,91,00,00,00,00,00,00,
2460657,108182FE,true,Tx,0,8,0B,91,00,00,00,00,00,00,
2461586,1081827E,true,Rx,0,8,23,8D,00,00,00,00,00,00,
2462044,108182FE,true,Tx,0,8,0C,91,00,00,00,00,00,00,
2463821,1081827E,true,Rx,0,8,24,8D,00,00,00,00,00,00,
2463330,108182FE,true,Tx,0,8,0D,91,00,00,00,00,00,00,
2464532,108182FE,true,Tx,0,8,0E,91,00,00,00,00,00,00,
2466137,1081827E,true,Rx,0,8,25,8D,00,00,00,00,00,00,
2465916,108182FE,true,Tx,0,8,0F,91,00,00,00,00,00,00,
2467329,108182FE,true,Tx,0,8,00,92,00,00,00,00,00,00,
2468453,1081827E,true,Rx,0,8,26,8D,00,00,00,00,00,00,
2468902,108182FE,true,Tx,0,8,01,92,00,00,00,00,00,00,
2470771,1081827E,true,Rx,0,8,27,8D,00,00,00,00,00,00,
2473088,1081827E,true,Rx,0,8,28,8D,00,00,00,00,00,00,
2475421,1081827E,true,Rx,0,8,29,8D,00,00,00,00,00,00,
2477725,1081827E,true,Rx,0,8,2A,8D,00,00,00,00,00,00,
2480017,1081827E,true,Rx,0,8,2B,8D,00,00,00,00,00,00,
2482339,1081827E,true,Rx,0,8,2C,8D,00,00,00,00,00,00,
2482222,108182FE,true,Tx,0,8,02,92,00,00,00,00,00,00,
2484663,1081827E,true,Rx,0,8,2D,8D,00,00,00,00,00,00,
2486989,1081827E,true,Rx,0,8,2E,8D,00,00,00,00,00,00,
2489293,1081827E,true,Rx,0,8,2F,8D,00,00,00,00,00,00,
2491640,1081827E,true,Rx,0,8,20,8E,00,00,00,00,00,00,
2493984,1081827E,true,Rx,0,8,21,8E,00,00,00,00,00,00,
2496286,1081827E,true,Rx,0,8,22,8E,00,00,00,00,00,00,
2498595,1081827E,true,Rx,0,8,23,8E,00,00,00,00,00,00,
2498541,108182FE,true,Tx,0,8,03,92,00,00,00,00,00,00,
2500922,1081827E,true,Rx,0,8,24,8E,00,00,00,00,00,00,
2503250,1081827E,true,Rx,0,8,25,8E,00,00,00,00,00,00,
2505575,1081827E,true,Rx,0,8,26,8E,00,00,00,00,00,00,
2507866,1081827E,true,Rx,0,8,27,8E,00,00,00,00,00,00,
2510212,1081827E,true,Rx,0,8,28,8E,00,00,00,00,00,00,
2511944,108182FE,true,Tx,0,8,04,92,00,00,00,00,00,00,
2512531,1081827E,true,Rx,0,8,29,8E,00,00,00,00,00,00,
2514118,108182FE,true,Tx,0,8,05,92,00,00,00,00,00,00,
2514845,1081827E,true,Rx,0,8,2A,8E,00,00,00,00,00,00,
2515468,108182FE,true,Tx,0,8,06,92,00,00,00,00,00,00,
2517129,1081827E,true,Rx,0,8,2B,8E,00,00,00,00,00,00,
2516705,108182FE,true,Tx,0,8,07,92,00,00,00,00,00,00,
2517845,108182FE,true,Tx,0,8,08,92,00,00,00,00,00,00,
2519467,1081827E,true,Rx,0,8,2C,8E,00,00,00,00,00,00,
2518999,108182FE,true,Tx,0,8,09,92,00,00,00,00,00,00,
2520145,108182FE,true,Tx,0,8,0A,92,00,00,00,00,00,00,
2521775,1081827E,true,Rx,0,8,2D,8E,00,00,00,00,00,00,
2521268,108182FE,true,Tx,0,8,0B,92,00,00,00,00,00,00,
2522428,108182FE,true,Tx,0,8,0C,92,00,00,00,00,00,00,
2524106,1081827E,true,Rx,0,8,2E,8E,00,00,00,00,00,00,
2523596,108182FE,true,Tx,0,8,0D,92,00,00,00,00,00,00,
2525281,1001117E,true,Rx,0,8,00,01,00,00,00,00,00,00,
2524761,108182FE,true,Tx,0,8,0E,92,00,00,00,00,00,00,
2526429,1081827E,true,Rx,0,8,2F,8E,00,00,00,00,00,00,
2525916,108182FE,true,Tx,0,8,0F,92,00,00,00,00,00,00,
2527625,108182FE,true,Tx,0,8,00,93,00,00,00,00,00,00,
2529927,1081827E,true,Rx,0,8,20,8F,00,00,00,00,00,00,
2529438,108182FE,true,Tx,0,8,01,93,00,00,00,00,00,00,
2531082,108182FE,true,Tx,0,8,02,93,00,00,00,00,00,00,
